Name,Open Source,URL,Former name,OS license,Architecture,Recommended for,Typical scenarios,Impact on customer's IT,Development approach,Storefront approach,Project Hosting,Hosting description,Code-access,Extendibility concept,Security certificates,Privacy center,Dev docs,Gartner Magic Q 23,Success Stories,More information,Repository,Stars,Repository Created,Summary of License,Code,Ready,Mobile App approach,Basic B2C Features,Search & Filtering,Gift Cards,CMS,OMS,PIM,Call Center,Multi-Warehouse,Location-Based Inventory,Multi-Store,Multi-Locale,Multi-Currency,Volume Prices,Configurable Products,Quotation & Offer Management,Packaging Units,Measurement Units,Approval Workflows,Shopping Lists,Business Units & Organizations,Roles & Permissions,Products-per-Customer,Price-per-Customer,Merchant Portal,Multi-Merchant,B2C Features,B2B Features,Marketplace Features
Oracle Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
OroCommerce,Commercial,https://oroinc.com/b2b-ecommerce/,,,,,"B2B,Marketplace",,,,,,,,,,,Visionary,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Saleor,Open Source,https://saleor.io/,,BSD-3,,,,,,,"On-Premise,Managed Hosting",,Full Access,,,,,,,,saleor/saleor,"20,643",2/12/2013 5:46:39 PM,,Python,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Salesforce B2C Commerce,Commercial,https://www.salesforce.com/commerce/,Demandware,,All-in-one SaaS solution,"Companies that are already invested into the Salesforce tool landscape, want to fully outsource their B2C shop to a SaaS platform.",B2C,You'll primarily need JavaScript developers for building the storefront and handling integrations using Cartridges.,"Projects typically start by customizing one of the demo shops, followed by developing custom integrations, which are injected into the SaaS platform.","Projects usually begin by customizing the Demo shop, which is built on the Storefront Reference Architecture (SFRA) using Server-Side JavaScript (SSJS) and ISML templates.

Alternatively, projects can be implemented with the more modern PWA Kit, which is based on React and also has a demo shop.

Lastly, teams may choose to build and host their own storefront using the system’s REST-APIs.",SaaS,"The Salesforce Commerce solution, as well as custom integrations (Cartridge) and the storefront are hosted within the Salesforce Commerce Cloud environment.",No Access,"Integrations are implemented as ""Cartridges,"" developed using JavaScript, specifically Server-Side JavaScript (SSJS) based on the Rhino engine (which translates JavaScript to Java on the server-side). A proprietary templating language “ISML” (Internet Store Markup Language) is used for rendering frontend templates. Each cartridge contains the logic, controllers, services, and templates. The system's source code is not accessible.","ISO 27001,SOC-2,GDPR",https://help.salesforce.com/s/articleView?id=000391623&type=1,https://developer.salesforce.com/developer-centers/commerce-cloud,Leader,"Puma,GoPro,Adidas,L'Oréal,Under Armour,Crocs,Yeti","More information about Salesforce Commerce

As Salesforce Commerce is a pretty closed system, there is not much public information available. We recommend these posts:

* Oleg Sapishchuk explains Salesforce Commerce Cloud (SFCC), its architecture, integrations, and tools like Business Manager → https://osapishchuk.medium.com/how-to-understand-salesforce-commerce-cloud-78d71f1016de
* Thomas Theunen provides an overview of Salesforce Commerce Cloud and explains why it is not native to the Salesforce platform.  → https://www.salesforceben.com/salesforce-b2c-commerce-cloud-architecture-explained/

Alternative documentation

There is a community-driven alternative to the official documentation here: https://sfccdocs.com/

⚠️ B2C and B2B are different systems!

B2C Commerce 

Originally known as Demandware, an early cloud-based e-commerce solution, it was acquired by Salesforce in 2016. Salesforce B2C Commerce focuses on B2C commerce for retail brands. The platform can be extended using Salesforce Commerce Cloud’s proprietary scripting language, ISML (Internet Store Markup Language), along with JavaScript for front-end customizations. 

Salesforce B2B Commerce:

In contrast to the B2C system, the B2B Commerce solution is native to the Salesforce platform. As a result, it has a different architecture and requires different development skills, such as expertise in Apex, Lightning Web Components (LWC), and Salesforce’s declarative tools, compared to the JavaScript and ISML-based development used in B2C Commerce. You can read more about the differences here: https://www.salesforceben.com/salesforce-b2c-commerce-vs-b2b-commerce-what-are-the-differences/",,,,,,true,The provided PWA Kit has a responsive design and can be utilized to build a mobile-friendly shop. There is no out-of-the-box template for a native app.,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,12,0,0
SAP Commerce,Commercial,https://www.sap.com/products/crm/commerce-cloud.html,Hybris,,"Modular, Java-based application",Companies with established Java teams that are heavily invested in the SAP ecosystem.,"B2C,B2B,Marketplace",You will need to maintain a larger in-house team of Java and JavaScript engineers.,,"Storefronts are typically implemented using SAP's Composable Storefront (formerly known as Spartacus), an open-source template built on AngularJS (code)

",SaaS,"The SAP Commerce Cloud is usally deployed on Azure or AWS and operated by SAP, with each customer receiving their own instance as it is not a multi-tenant SaaS application.",Full Access,"SAP Commerce is a modular application, based on Java and the Spring Framework. ","SOC-2,ISO 27001,GDPR",https://www.sap.com/uk/about/trust-center/certification-compliance.html,https://help.sap.com/docs/SAP_COMMERCE,Leader,"Toyota Motor Philippines,DAIMANI,thyssenkrupp Materials Services,MVV Enamic,H&M","History

In 2013, SAP acquired Hybris, a Java-based shop system for enterprises, founded in 1997. Today, SAP Commerce is a part of SAP’s broader Customer Experience (CX) suite, covering areas like sales, marketing, customer service, and commerce.

Architecture overview

image.png

→ https://help.sap.com/docs/SAP_COMMERCE/b490bb4e85bc42a7aa09d513d0bcb18e/8b5588d8866910149d4eb5f99c75b6b4.html

On-Premise Hosting Reaches End-of-Life

⚠️ SAP has announced that support for its self-hosted SAP Commerce on-premise solution will end on July 31, 2026, requiring customers to either migrate to the cloud version or re-platform to a different e-commerce solution. → SAP Help Portal



B2C: https://www.sap.com/germany/documents/2022/03/50a71260-1c7e-0010-bca6-c68f7e60039b.html

B2b: https://www.sap.com/germany/documents/2022/08/de7b0903-3e7e-0010-bca6-c68f7e60039b.html

List of success stories: https://online.flippingbook.com/view/309922361/22/

https://www.sap.com/westbalkans/asset/dynamic/2022/12/90397f46-567e-0010-bca6-c68f7e60039b.html

https://news.sap.com/germany/2019/05/customer-experience-daimani/",,,,,,true,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,13,10,1
Scayle,Commercial,https://www.scayle.com/,,,Headless SaaS platform,"Large-scale B2C shops, ideally fashion or similar products.","B2C,Marketplace","You don’t need experienced engineers to extend the shop system since it’s a SaaS solution, but you will need a small team of engineers to maintain the storefront (Nuxt) and your integration middleware.","A typical project involves implementing three systems: First, building a custom storefront, possibly using their template. Second, integrating Scayle with other systems by developing custom middleware. Third, potentially building a mobile app.","Scayle is a headless SaaS platform, requiring you to build and operate your own storefront. They provide a Nuxt.js-based template (Storefront Boilerplate), but the checkout is rendered by Scayle and can only be configured.

",Mixed,"While Scayle is a fully vendor-operated SaaS system, the customer is responsible for hosting their storefront and additional integration services.",No Access,Scayle can be extended through REST APIs and webhooks. The source code is not accessible to customers.,GDPR,https://www.scayle.com/privacy-policy/,https://scayle.dev/en/,Niche Player,"About You,Deichmann,Depot,Fielmann,Pierce Group,Tom Tailor,Witt Weiden,Manchester United","History

Scayle is a productized version of About You‘s self-developed shop system.",,,,,,true,"Since Scayle doesn’t provide a mobile boilerplate, you’ll need to build your own app using the REST APIs.",true,true,true,false,false,true,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,10,0,0
Shopware,Commercial,https://www.shopware.com/,,MIT,,,,,,,,,Full Access,,,,,Visionary,,,shopware/shopware,"2,780",5/3/2018 3:00:31 PM,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Shopware CE,Open Source,https://www.shopware.com/en/community/community-edition/,,MIT,,,,,,,,,,,,,,,,,shopware/shopware,"2,780",5/3/2018 3:00:31 PM,,PHP,true,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Spree Commerce,Open Source,https://spreecommerce.org/,,AGPL-3.0,,Startups or small retailers seeking a solution based on Ruby on Rails.,"B2C,B2B,Marketplace",,,,,,,,,,,,"GoDaddy,Mason Cycles,Farmers To You,Craftsman,Planetka,Garmentory,Blue Apron,New England Patriots","Commercial version of Spree

There is also a commercial more powerful version of Spree, called Vendo → https://www.getvendo.com/",spree/spree,"12,892",3/10/2008 3:45:35 PM,,Ruby,true,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Spryker,Commercial,https://www.spryker.com/,,,Editable source code combined with managed hosting.,"Complex use cases, such as B2B and marketplaces, which often require code-level changes to the core system to implement unique functionality.","B2C,B2B,Marketplace","To succeed with Spryker, having an experienced PHP development team is essential, ideally in-house.","Projects typically start with the provided B2C or B2B template, followed by code customization and extension.","Spryker offers traditional PHP-based demo shops for B2C and B2B scenarios. Alternatively, customers can use their modern web components approach, Oryx, or decide to their own storefront using Spryker’s REST API.",Managed Hosting,Projects are fully hosted and supported by Spryker PaaS+ on AWS.,Full Access,"Customers extend Spryker on code-level (PHP). Any UI, business logic and database schema can be customized. Custom logic is typically developed as modules within the project's source code, resulting in a single modular application that extends Spryker’s core.

The source-code can be viewed and extended, see https://github.com/spryker/ ","SOC-2,ISO 27001,GDPR",https://spryker.com/about-us/trust-security/,https://docs.spryker.com/,Visionary,"Alles Auto,Daimler Trucks,ESA,Hardeck,Hornbach,Jungheinrich,Kömpf,Louis,Pferd,Scania UK,SDVerse,Siemens Healthineers,Stauff,ZF Friedrichshafen","Trivia

* Spryker is a modular application with over 1,000 modules, loaded into the project via Packagist → https://packagist.org/?query=spryker
* One of Spryker's strengths is its emphasis on Clean Code principles, improving the developer experience. This is reflected in its high score on the code analysis platform Scrutinizer → https://scrutinizer-ci.com/g/spryker/spryker-core/?branch=master

Video

Spryker’s Chief Architect Denis Turkov explains the architecture here:

https://www.youtube.com/watch?v=tMFX-rpPYhs",,,,,,true,,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,13,10,2
Sylius,Open Source,https://sylius.com/,,MIT,,,,,,,,,Full Access,,,,,,,,Sylius/Sylius,"7,878",11/5/2011 11:05:52 PM,,PHP,true,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,0,0
Vendure,Open Source,https://vendure.io/,,GPL-3.0,Headless Platform,,B2C,,,,On-Premise,,Full Access,,,,,,"Paket Market,Swile",,vendure-ecommerce/vendure,"5,631",6/11/2018 4:29:20 PM,,Node.js,true,,true,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,true,6,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,0,0,false
